,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you work in?,Do you work remotely?,Front-end Developer,Back-end Developer,DevOps/SysAdmin,Dev Evangelist/Advocate,One-person shop,Executive Leadership,Supervisor/Team Lead,Other,HR,Sales,Support
12,101,1.0,1,2,3,3,1,1,3,3,1,1,1,2,1,2,1,2,2,1,4,3,1,2,1,3,3,3,5,5,2,4,1,1,1,1,1,3,2,30,2.0,1,1,1,1,0,1,0,0,1,0,0,0,0
13,101,0.0,1,1,1,1,1,2,3,3,3,2,1,2,1,3,4,4,4,3,1,1,2,2,4,2,1,3,3,2,5,1,3,2,2,2,2,-1,2,44,1.0,2,2,1,1,1,0,0,0,0,0,0,0,0
14,101,1.0,1,1,3,2,1,1,3,3,1,1,3,2,1,3,3,4,4,3,3,3,3,3,3,3,3,3,5,5,2,4,1,1,1,1,1,2,2,35,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0
15,101,1.0,2,3,3,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,4,1,1,1,1,1,3,2,52,1.0,1,2,0,0,0,0,0,1,0,1,0,0,0
16,26,1.0,-1,3,3,3,2,5,2,3,2,2,3,2,1,4,3,4,4,4,1,3,3,4,4,2,1,3,1,4,1,1,1,1,1,1,1,2,1,32,2.0,2,1,1,0,0,0,0,0,0,0,0,0,0
17,501,1.0,3,3,3,3,2,3,2,3,1,2,3,2,1,4,1,4,4,3,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,2,2,-1,-1,34,1.0,0,3,0,1,0,0,0,0,0,0,0,0,0
19,101,0.0,2,3,3,3,2,3,1,3,3,3,1,2,1,3,4,4,2,3,1,3,3,4,4,3,1,3,2,2,4,4,1,1,1,1,1,3,2,31,1.0,1,2,1,1,0,0,0,0,0,0,0,0,0
20,6,1.0,3,-1,3,3,2,1,3,3,2,1,2,2,1,1,1,4,4,1,4,3,2,2,1,3,2,3,2,2,4,3,1,2,3,2,2,-1,-1,26,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0
21,1001,0.0,1,3,1,2,2,2,3,3,2,1,2,2,1,2,1,2,2,1,4,2,2,2,3,3,3,3,3,3,3,4,3,3,3,2,2,-1,-1,35,1.0,1,3,0,0,0,0,0,0,0,1,0,0,0
22,26,1.0,1,1,3,3,2,1,2,2,2,3,2,2,1,1,1,4,4,3,3,2,2,2,3,3,2,2,3,4,3,4,2,2,3,2,2,-1,-1,25,1.0,3,2,0,1,0,0,0,0,0,0,0,0,0
23,1,1.0,1,1,3,3,2,4,2,3,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,3,3,2,3,2,2,1,1,3,1,1,2,1,33,1.0,2,2,0,1,0,0,0,0,0,0,0,0,0
25,101,0.0,1,1,2,1,1,1,3,3,2,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,4,1,3,3,3,3,2,2,-1,-1,42,1.0,3,3,0,1,0,0,0,0,1,0,0,0,1
26,26,0.0,3,3,3,3,2,5,1,1,3,3,3,2,1,4,2,2,4,3,2,2,3,3,2,3,3,2,2,2,2,3,2,1,1,1,1,3,1,27,1.0,4,2,0,1,1,0,0,0,1,0,0,0,0
27,101,1.0,2,3,3,3,2,4,3,3,3,3,2,2,1,4,4,4,4,3,3,2,3,4,4,2,2,3,2,2,4,3,3,3,2,2,1,2,1,35,1.0,3,3,0,1,0,0,0,0,0,0,0,0,0
28,501,0.0,2,3,1,1,2,3,2,3,2,2,2,1,1,3,3,4,4,3,2,2,3,4,4,1,2,3,2,4,3,2,1,1,2,2,1,2,1,34,2.0,0,3,0,0,0,0,0,0,0,1,0,0,0
29,6,1.0,-1,-1,3,3,1,2,3,3,1,1,1,2,1,4,4,4,4,3,2,2,3,4,4,2,3,3,2,2,4,2,1,1,1,1,1,2,1,32,3.0,0,3,0,1,0,0,0,0,1,1,0,0,1
30,101,1.0,-1,1,3,3,2,2,2,3,2,2,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,3,1,3,1,1,1,1,1,3,1,32,3.0,3,3,0,1,0,0,0,0,0,0,0,0,0
31,101,1.0,1,1,3,1,1,1,3,3,1,1,1,2,1,2,1,4,2,1,4,3,1,3,1,3,3,3,4,5,1,4,3,1,1,1,1,1,2,30,1.0,1,2,0,1,0,0,0,0,1,0,0,0,0
32,1001,1.0,2,2,3,3,2,1,2,3,3,2,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,2,4,2,1,2,2,2,3,1,31,1.0,1,3,1,1,0,1,1,0,0,1,0,0,0
34,26,1.0,1,2,3,2,1,1,3,3,2,1,1,2,1,4,4,4,4,3,2,2,3,4,4,3,1,1,4,4,4,3,3,1,1,2,2,-1,2,36,1.0,0,2,0,1,1,0,0,0,1,0,0,0,1
35,101,1.0,3,3,3,1,2,2,2,3,3,3,2,1,1,4,4,4,4,2,2,3,2,4,4,3,3,3,2,2,2,4,3,3,3,2,2,-1,-1,33,1.0,3,3,1,1,0,0,0,1,1,0,0,1,0
36,26,1.0,1,2,3,1,1,1,3,3,1,2,1,2,1,2,2,2,2,3,2,2,2,2,2,2,1,1,3,3,2,1,1,1,1,1,1,2,1,44,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0
37,101,1.0,3,1,3,3,2,2,3,3,1,1,1,2,1,4,1,4,4,4,2,3,2,2,4,1,2,2,3,2,2,2,3,3,2,2,2,4,2,29,1.0,0,3,1,0,0,0,0,0,0,0,0,0,0
38,101,1.0,3,2,1,3,2,2,3,3,2,1,2,2,1,4,4,4,4,3,3,3,2,2,2,3,1,2,3,4,1,4,1,1,2,1,1,3,2,29,1.0,0,2,0,1,0,0,0,0,0,0,0,0,0
39,1001,1.0,1,1,2,2,2,3,2,3,1,1,2,1,1,2,3,4,2,3,2,2,1,1,3,2,1,1,3,3,1,2,2,3,3,2,2,-1,-1,44,1.0,2,1,0,0,0,0,0,0,0,1,0,0,1
41,101,1.0,1,2,3,2,1,2,3,3,2,1,3,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,4,4,2,3,2,1,1,2,1,3,2,40,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0
42,1001,1.0,1,2,3,3,1,4,1,2,1,1,3,2,1,2,3,4,2,3,2,3,1,1,4,3,2,3,3,3,1,3,1,1,1,2,1,1,1,46,2.0,4,3,0,0,0,0,0,0,1,1,0,0,0
44,1001,0.0,3,2,3,3,3,4,2,3,3,3,3,2,1,4,4,4,4,4,3,3,2,4,4,3,3,3,2,2,2,4,3,3,3,2,2,-1,-1,41,1.0,1,3,0,1,0,0,0,0,0,0,0,0,0
45,6,1.0,1,1,2,1,2,2,2,2,2,2,3,2,1,4,4,4,4,4,1,1,3,4,4,2,3,3,2,2,2,1,1,1,1,1,1,2,1,33,1.0,1,2,1,1,0,0,0,0,1,0,0,0,0
47,6,1.0,2,3,3,2,2,3,2,3,3,2,2,2,1,2,2,4,2,3,2,2,2,2,2,3,2,2,3,3,4,4,2,2,2,2,2,-1,2,45,1.0,1,2,1,1,1,0,0,0,0,0,0,0,0
49,6,1.0,1,1,3,3,1,1,3,3,1,2,2,2,1,2,1,2,1,1,2,3,2,2,2,2,3,3,3,3,2,4,3,2,1,1,1,1,1,37,2.0,1,1,0,0,0,0,0,0,1,0,0,0,0
50,26,1.0,3,-1,3,3,2,2,2,2,3,3,2,2,1,4,4,4,4,3,2,2,3,4,3,3,3,3,1,3,3,3,2,1,1,1,1,2,1,37,1.0,5,3,0,0,0,0,0,1,0,0,0,0,0
51,6,1.0,1,1,3,3,1,1,2,2,1,1,2,2,1,2,2,4,2,1,2,2,2,2,2,2,1,1,3,3,2,3,1,3,3,2,2,-1,-1,27,1.0,1,2,1,1,0,0,0,1,0,0,0,0,0
53,1001,1.0,1,1,3,1,2,4,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,3,3,4,3,1,1,1,1,1,1,4,2,36,1.0,1,2,0,0,1,0,0,0,1,0,0,0,0
54,501,0.0,1,1,3,3,2,3,2,3,2,2,2,2,1,4,1,4,4,3,2,3,2,2,3,3,2,3,2,3,3,4,3,2,2,1,1,3,1,34,1.0,1,1,0,1,1,0,0,0,0,0,0,0,0
55,1001,0.0,1,3,1,1,2,4,2,2,1,1,2,2,1,2,4,2,2,3,2,2,2,2,2,1,3,3,3,4,4,4,3,3,3,2,2,-1,-1,31,2.0,1,2,0,0,0,0,0,0,0,1,0,0,0
56,26,1.0,1,1,3,1,2,2,3,3,1,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,4,2,4,1,2,2,1,1,3,1,30,1.0,1,3,1,1,0,0,0,0,0,0,0,0,0
57,101,0.0,1,1,3,2,1,4,2,3,2,1,3,2,1,2,3,4,2,1,2,2,3,4,4,3,1,3,2,3,4,3,1,2,2,2,2,2,1,32,1.0,2,3,0,0,0,0,0,0,1,0,0,0,0
58,6,0.0,1,2,3,3,2,4,3,3,3,2,2,2,1,3,4,4,4,3,3,3,3,2,3,3,2,3,4,3,4,4,2,2,2,2,2,-1,-1,40,2.0,1,2,1,1,0,0,0,0,0,0,0,0,0
59,101,0.0,2,3,3,3,2,3,2,3,2,3,2,2,1,4,2,4,4,3,2,3,2,3,4,3,1,2,3,4,-1,4,2,3,3,2,2,-1,-1,40,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0
60,1001,1.0,1,2,1,1,2,3,3,3,2,1,3,2,1,4,4,4,4,3,2,2,2,4,4,3,2,2,2,2,2,3,2,3,2,2,2,2,2,41,1.0,6,2,0,1,0,0,0,0,0,0,0,0,0
61,26,0.0,-1,-1,3,3,2,5,1,3,3,2,3,2,1,3,4,4,4,3,1,3,2,2,3,2,1,2,2,2,2,3,3,1,2,1,1,3,1,27,1.0,0,3,0,0,1,0,0,0,0,0,0,0,0
62,26,1.0,1,1,3,3,2,2,3,3,1,1,2,2,1,2,3,4,4,3,2,3,2,1,4,3,2,2,3,4,2,2,3,3,3,2,2,-1,-1,30,1.0,1,2,0,0,0,0,0,0,1,0,0,0,0
66,6,0.0,3,1,3,3,2,4,2,3,2,2,3,1,1,4,2,4,4,3,3,3,2,2,2,2,1,3,2,2,2,1,1,1,1,1,1,3,1,35,2.0,1,3,0,0,0,0,0,0,1,0,0,0,0
67,1001,1.0,1,2,1,1,2,3,2,2,3,3,2,2,1,4,1,2,4,4,1,2,3,2,4,2,1,3,2,2,2,2,1,1,1,1,1,1,1,29,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0
68,101,1.0,1,2,3,2,1,3,2,2,3,2,2,2,1,2,2,4,4,3,3,2,2,2,4,2,2,3,2,3,2,4,1,2,3,2,2,-1,-1,28,1.0,1,3,1,0,0,0,0,0,0,0,0,0,0
69,26,0.0,3,1,3,2,1,1,3,3,3,1,1,2,1,4,4,4,1,3,4,3,2,1,1,3,3,3,3,2,1,4,2,1,2,1,1,3,1,27,1.0,4,2,0,1,0,0,0,0,0,0,0,0,0
71,101,1.0,1,2,3,2,2,3,3,3,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,3,3,2,4,3,3,3,2,2,-1,-1,28,1.0,7,2,0,0,0,0,0,0,0,0,0,0,1
72,6,0.0,2,3,3,3,2,5,1,2,3,3,3,2,1,3,4,4,4,3,1,1,3,4,4,3,3,3,2,2,5,4,1,3,3,2,2,-1,-1,46,1.0,1,2,0,1,0,0,0,1,1,0,0,0,0
73,1,1.0,3,3,3,2,2,1,3,3,1,1,2,2,1,3,4,4,4,3,2,2,1,1,3,3,1,1,3,4,1,4,3,1,3,1,1,-1,-1,40,1.0,4,2,1,1,0,0,0,0,0,0,0,0,0
74,26,1.0,1,1,3,3,1,1,3,3,2,1,1,2,1,3,4,4,4,3,2,3,2,2,3,3,2,3,3,4,2,4,1,2,2,2,2,-1,2,37,1.0,1,1,0,1,1,0,0,0,1,0,0,0,0
75,26,1.0,3,-1,3,3,2,1,3,3,2,1,2,2,1,2,4,4,4,3,4,3,1,1,3,3,2,3,3,4,2,4,1,3,3,2,2,-1,-1,41,1.0,4,2,1,1,1,0,0,0,0,0,0,0,0
77,6,1.0,2,2,3,3,3,2,3,3,1,2,1,2,1,3,4,4,2,4,2,2,2,2,2,3,2,2,3,4,2,4,3,3,3,2,2,-1,-1,38,2.0,4,3,1,0,0,0,0,0,0,0,0,0,0
78,26,1.0,2,2,3,2,2,4,2,3,3,3,3,2,1,2,2,3,2,2,3,3,2,2,4,3,1,3,3,3,3,4,3,3,3,2,2,-1,-1,33,1.0,1,2,1,0,0,0,0,0,0,0,0,0,0
79,26,1.0,1,1,3,1,1,1,3,3,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,3,1,2,3,4,1,4,1,1,1,1,1,3,2,33,1.0,1,1,0,1,0,1,0,0,1,0,0,0,0
80,1,1.0,1,1,3,2,1,3,3,3,2,1,2,2,1,4,4,4,4,3,3,3,2,2,3,3,3,3,3,3,2,4,3,3,3,2,2,-1,-1,21,1.0,0,3,0,1,1,0,0,0,0,0,0,0,0
81,1,1.0,3,3,3,3,2,5,2,2,3,3,2,1,1,2,2,4,4,4,1,1,3,4,4,2,3,3,3,3,4,1,1,1,1,2,2,1,1,36,1.0,8,3,0,1,0,0,0,0,0,0,0,0,0
83,26,1.0,2,2,3,2,1,2,3,3,2,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,4,4,2,4,3,3,3,2,2,-1,-1,35,1.0,1,2,0,1,0,1,0,0,0,0,0,0,0
85,6,1.0,1,3,3,2,2,3,2,3,3,2,3,2,1,3,4,4,4,3,3,2,3,4,3,3,2,1,3,3,4,1,3,2,2,2,2,-1,-1,45,1.0,1,3,1,1,1,0,0,0,0,0,0,0,0
86,26,1.0,2,3,3,3,2,4,2,3,2,2,3,2,1,3,2,4,2,3,3,3,2,2,2,3,1,3,2,3,2,4,3,2,2,2,2,-1,3,41,1.0,2,3,0,1,0,0,0,0,1,0,0,0,0
87,26,1.0,2,2,3,2,2,4,2,3,3,3,3,2,1,3,4,4,4,3,2,2,2,2,4,3,2,2,1,1,3,1,2,1,1,1,1,2,1,35,1.0,0,2,0,1,0,0,0,0,0,0,0,0,0
89,26,1.0,2,2,1,1,1,1,3,3,2,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,4,4,1,4,1,1,1,1,1,2,1,24,2.0,1,2,0,1,0,0,0,0,0,0,0,0,0
90,101,0.0,3,-1,3,3,2,3,2,3,3,3,2,2,1,4,4,4,4,3,3,3,3,4,3,3,2,3,3,3,2,-1,2,1,3,1,1,4,2,33,1.0,8,3,0,0,0,0,0,0,0,1,0,0,0
91,1001,1.0,1,1,2,1,2,3,2,2,2,2,2,2,1,1,1,3,1,3,2,3,2,3,3,3,3,3,2,2,4,4,1,1,2,1,1,3,1,35,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0
92,6,1.0,3,-1,1,2,2,3,3,3,2,1,1,2,1,4,4,4,4,3,1,2,3,4,4,3,1,2,3,3,2,3,3,3,1,2,2,3,2,26,1.0,0,2,0,0,0,0,0,0,1,0,0,0,0
93,6,1.0,3,-1,3,3,2,4,1,3,3,1,3,1,1,4,4,4,4,3,2,3,3,3,2,3,1,1,3,2,5,2,3,3,3,2,2,4,2,17,1.0,8,1,1,0,0,0,0,0,0,0,0,0,0
94,6,0.0,2,2,3,3,2,3,3,3,2,1,2,2,1,4,4,4,4,1,4,3,3,2,2,3,2,2,3,3,2,-1,3,1,1,1,1,2,1,29,2.0,1,2,1,0,0,0,0,0,0,0,0,0,0
95,101,1.0,1,2,3,2,2,3,3,3,2,2,2,2,1,2,2,2,4,2,4,3,2,2,2,3,1,3,4,3,2,4,1,1,1,1,1,3,1,26,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0
96,26,1.0,2,2,3,2,2,1,3,3,2,2,2,2,1,1,1,1,1,3,3,3,2,2,1,2,3,3,2,2,-1,2,3,3,3,2,2,-1,-1,36,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0
97,26,1.0,2,2,1,2,1,3,3,3,3,3,1,2,1,3,4,4,4,3,2,2,2,3,4,3,2,2,3,4,2,4,2,3,3,2,2,-1,-1,46,1.0,1,2,0,1,1,0,0,0,0,0,0,0,0
99,101,1.0,1,1,3,3,2,4,2,3,2,1,3,2,1,4,4,4,4,3,2,3,2,2,3,3,3,3,3,3,2,4,1,1,1,1,1,2,1,28,2.0,1,2,0,1,0,0,0,0,0,0,0,0,0
100,501,1.0,1,3,2,2,2,3,2,3,3,3,2,2,1,3,4,4,4,3,1,2,3,4,4,2,3,3,2,2,-1,-1,3,3,3,2,2,-1,-1,40,1.0,1,2,0,0,1,0,0,0,0,0,0,0,0
101,101,1.0,2,3,3,3,2,3,1,3,2,1,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,3,1,4,2,1,1,1,1,1,1,23,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0
102,6,1.0,2,2,3,3,2,3,3,3,1,1,2,2,1,4,4,4,4,3,3,3,1,1,3,3,1,1,3,3,2,4,1,3,3,2,2,-1,-1,30,1.0,1,2,0,1,0,0,0,0,0,0,0,0,0
103,26,1.0,2,2,2,2,2,1,2,2,3,3,2,2,1,2,2,2,2,1,2,2,3,4,4,3,3,3,2,2,2,4,1,2,3,2,2,-1,-1,28,2.0,1,2,0,0,0,0,0,0,0,0,0,0,0
104,26,1.0,3,2,3,3,2,4,1,3,2,2,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,2,3,2,2,2,2,2,-1,2,27,1.0,4,3,0,1,1,1,0,0,1,0,0,0,0
106,26,1.0,1,1,3,3,2,4,2,3,2,3,3,2,1,2,2,4,4,3,2,3,2,2,3,3,2,2,3,3,2,3,1,1,2,2,1,2,2,39,2.0,1,3,0,1,0,0,0,0,0,0,0,0,0
107,1001,1.0,1,1,3,1,1,3,2,2,2,2,3,2,1,1,1,4,1,1,3,1,3,3,4,3,2,2,3,3,2,3,1,3,1,1,1,2,2,34,2.0,1,1,0,0,0,0,0,0,1,0,0,0,0
108,6,1.0,1,1,3,3,1,1,3,3,3,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2,4,4,4,3,1,1,1,1,3,1,30,1.0,1,2,1,1,1,0,0,0,1,0,0,0,0
110,101,0.0,2,3,3,2,2,2,3,3,1,1,2,2,1,4,4,4,4,3,1,1,2,4,4,2,1,1,3,3,-1,3,3,3,2,2,2,-1,-1,31,1.0,1,2,0,0,0,0,0,0,0,0,0,0,0
111,26,1.0,1,1,1,1,1,1,3,3,1,1,1,2,1,1,1,3,4,3,3,3,2,4,3,3,1,3,3,4,2,4,1,1,1,1,1,2,1,30,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0
112,1001,1.0,1,2,3,2,2,4,1,3,3,3,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2,3,2,4,1,2,2,2,2,-1,-1,32,1.0,1,2,1,0,0,0,0,0,0,0,0,0,0
115,26,0.0,1,1,3,1,1,3,2,2,2,2,2,2,1,4,4,4,4,3,3,2,2,3,3,3,2,2,3,4,2,4,3,3,3,2,2,-1,-1,51,1.0,1,2,0,0,0,0,0,1,1,0,0,0,0
116,26,0.0,2,3,3,3,2,3,3,3,2,1,2,2,1,4,4,4,4,3,2,2,2,2,4,3,2,2,5,3,1,4,1,1,1,1,1,3,1,26,1.0,1,2,1,1,0,0,0,0,0,0,0,0,0
117,26,1.0,1,1,1,1,1,2,3,3,1,1,1,2,1,2,4,4,2,3,2,3,2,4,2,2,1,3,3,4,1,2,1,1,3,1,1,4,1,41,2.0,1,2,1,0,0,0,0,0,0,0,0,0,0
118,101,1.0,2,2,3,2,2,3,3,3,2,2,2,2,1,3,4,4,4,3,2,2,2,2,4,3,2,3,2,3,2,4,1,1,1,1,1,4,1,39,2.0,1,2,0,1,0,0,0,0,0,0,0,0,0
119,6,1.0,1,3,3,3,3,3,2,3,3,3,2,2,1,1,2,4,4,2,2,3,3,2,2,3,3,3,2,2,3,3,1,1,2,1,1,3,2,43,1.0,1,2,0,1,1,0,0,0,0,0,0,0,0
120,501,1.0,2,2,3,3,2,3,3,3,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,1,1,3,4,1,4,1,3,2,2,2,3,3,30,1.0,0,2,0,1,1,1,0,0,1,0,0,0,0
121,26,1.0,1,1,1,2,2,1,3,3,2,1,1,2,1,3,4,3,4,3,2,2,3,4,4,3,2,3,3,4,-1,4,2,3,3,2,2,-1,-1,24,2.0,1,2,0,0,0,0,0,0,0,0,0,0,0
123,26,0.0,3,1,3,3,2,4,1,2,3,2,2,2,1,2,2,2,2,3,1,2,3,4,4,3,2,3,2,4,2,1,1,1,1,1,1,3,1,28,2.0,3,2,1,1,0,0,0,0,0,0,0,0,0
